Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
*.abc.net.au/*,Perennial,Y*,N,,,,,,,,
*.abcnews.go.com/*,Perennial,N,N,,0x00061a149afa1693,1.0,,_include_,,original_url,abcnews.go.com
*.afp.com/*,Perennial,N,Y,,0x00061a14b25769e1,1.0,,_include_,,original_url,AFP.com
*.aljazeera.com/*,Perennial,Y / Y,N,,0x00061a14c4af03f4,1.0,,_include_,,original_url,Aljazeera.com
*.americanpressinstitute.org/*,,N,N,,,,,,,,
*.amnesty.org/*,Perennial,Y*?,N,,0x00061a14c4c64a8e,1.0,,_include_,,original_url,Amnesty.org
*.apnews.com/*,Perennial,N,N,,0x00061a149afa16db,1.0,,_include_,,original_url,APnews.com
*.arte.tv/en/*,State Media Monitor,N,N,,,,,,,,
*.arstechnica.com/*,Perennial,N,N,,0x00061a14c4f5ab72,1.0,,_include_,,original_url,arstechnica.com
*.atlasobscura.com/articles*,Perennial,Y / Y,N,,0x00061a14dd96bff9,1.0,,_include_,,original_url,https://*.atlasobscura.com/
*.avclub.com/*,Perennial,Y*,Y,,0x00061a14ddc1290b,1.0,,_include_,,original_url,avclub.com
*.axios.com/*,Perennial,Y*,N,,0x00061a149afa171b,1.0,,_include_,,original_url,Axios.com
*.bbc.com/*,Perennial,N,N,,0x00061a149afa1b12,1.0,,_include_,,original_url,bbc.com
*.behindthevoiceactors.com/*,Perennial,Y / Y,N,,0x00061a14dde818f2,1.0,,_include_,,original_url,https://*.behindthevoiceactors.com
*.bellingcat.com/*,Perennial,N,N,,0x00061a14ddfd8399,1.0,,_include_,,original_url,bellingcat.com
*.bloomberg.com/*,Perennial,Y,Y,,0x00061a149afa175c,1.0,,_include_,,original_url,Bloomberg.com
*.burkespeerage.com/*,Perennial,N,Y,,0x00061a14de142128,1.0,,_include_,,original_url,burkespeerage.com
*.buzzfeednews.com/*,Perennial,Y*,N,Can only filter by author,0x00061a14de2b8e0c,1.0,,_include_,,original_url,buzzfeednews.com
*.calmatters.org/*,INN,Y / Y,N,,,,,,,,
*.cbc.ca/*,State Media Monitor,N,N,,,,,,,,
*.cbsnews.com/*,Perennial,N,N,,0x00061a149afa17c3,1.0,,_include_,,original_url,CBSnews.com
*.channel4.com/*,State Media Monitor,N,N,,,,,,,,
*.cjr.org/*,,Y / Y,N,,,,,,,,
*.climatefeedback.org/*,Perennial,N,N,,0x00061a14de3f1bfb,1.0,,_include_,,original_url,climatefeedback.org
*.cnn.com/*,Perennial,Y / Y,N,,0x00061a149afa1803,1.0,,_include_,,original_url,CNN.com
*.codastory.com/*,Perennial,N,N,,0x00061a14de5294c4,1.0,,_include_,,original_url,codastory.com
*.commonsensemedia.org/*,Perennial,N,N,,0x00061a14de68ebe5,1.0,,_include_,,original_url,https://*.commonsensemedia.org
*.csmonitor.com/*,Perennial,Y,Y,,0x00061a149afa1b51,1.0,,_include_,,original_url,Csmonitor.com
*.current.org/*,,Y*,N?,,,,,,,,
*.deadline.com/*,Perennial,Y*,N,,0x00061a14deaa1366,1.0,,_include_,,original_url,deadline.com
*.deseret.com/*,Perennial,Y / Y,N,,0x00061a14debe5a0f,1.0,,_include_,,original_url,Deseret.com
*.digitalspy.com/*,Perennial,Y / Y,N,,0x00061a14deeab58a,1.0,,_include_,,original_url,digitalspy.com
*.dw.com/*,Perennial,Y / Y,N,,0x00061a14ded2b4e6,1.0,,_include_,,original_url,*.dw.com
*.economist.com/*,Perennial,Y,Y,,0x00061a14df123f76,1.0,,_include_,,original_url,economist.com
*.editorandpublisher.com/*,,N,N?,,,,,,,,
*.efe.com/en/*,State Media Monitor,N?,N,,,,,,,,
*.engadget.com/*,Perennial,N?,N,,0x00061a14f3a802f4,1.0,,_include_,,original_url,*.engadget.com
*.ew.com/*,Perennial,Y / Y,N,,0x00061a14f3bd2adf,1.0,,_include_,,original_url,ew.com
*.foreignaffairs.com/*,,,Y,,,,,,,,
*.foreignpolicy.com/*,,Y*,Y,,,,,,,,
*.france24.com/en/*,State Media Monitor,N?,N,,,,,,,,
*.ft.com/*,Perennial,Y*,Y,,0x00061a14f3d1d14c,1.0,,_include_,,original_url,ft.com
*.fullfact.org/*,Perennial,N,N,,0x00061a1531c0f6c7,1.0,,_include_,,original_url,fullfact.org
*.gamedeveloper.com/*,Perennial,Y*,N,,0x00061a14f3e6bffd,1.0,,_include_,,original_url,gamedeveloper.com
*.gameinformer.com/*,Perennial,N?,N,,0x00061a14f3fb7b35,1.0,,_include_,,original_url,*.gameinformer.com
*.gijn.org/stories/*,INN,N?,N,,,,,,,,
*.gizmodo.com/*,Perennial,N,N,Gizmodo bot only has 1 story,0x00061a14f422ef0b,1.0,,_include_,,original_url,Gizmodo.com
*.gq.com/*,Perennial,N,N,,0x00061a14f44722e5,1.0,,_include_,,original_url,gq.com
*.grubstreet.com/*,Perennial,Y,Y,,,,,,,,
*.haaretz.com/*,Perennial,Y,Y,,0x00061a14f4588074,1.0,,_include_,,original_url,haaretz.com
*.hollywoodreporter.com/*,Perennial,N,Y,,0x00061a14f4856c4e,1.0,,_include_,,original_url,hollywoodreporter.com
*.idolator.com/*,Perennial,Y*,N,Last reviewed in 2014…,0x00061a14f49b7b32,1.0,,_include_,,original_url,*.idolator.com
*.illustrateddailynews.com/*,Perennial,Y / Y,N,,,,,,,,
*.indianexpress.com/*,Perennial,Y,Y,Still able to criticize BJP?,0x00061a14f4d356d8,1.0,,_include_,,original_url,indianexpress.com
*.inn.org/*,GIJN,N?,N,,,,,,,,
*.ipsnews.net/*,Perennial,Y*,N,,0x00061a14f4f899c7,1.0,,_include_,,original_url,*.ipsnews.net
*.iranicaonline.org/*,Perennial,N,N,,0x00061a14f394b947,1.0,,_include_,,original_url,iranicaonline.org
*.jamanetwork.com/*,Perennial,Y*,Y,,0x00061a1531d790aa,1.0,,_include_,,original_url,jamanetwork.com
*.journalismresearch.org/*,,N,N,,,,,,,,
*.kbs-america.com/*,State Media Monitor,N,N,,,,,,,,
*.kirkusreviews.com/*,Perennial,Y*,N,,0x00061a1531fe3ce3,1.0,,_include_,,original_url,kirkusreviews.com
*.knightfoundation.org/*,,N,N,,,,,,,,
*.knpr.org/*,INN,N,N,,,,,,,,
*.kqed.org/*,INN,Y / Y,N,,,,,,,,
*.latimes.com/*,Perennial,Y,Y,,0x00061a1532110518,1.0,,_include_,,original_url,latimes.com
*.metacritic.com/*,Perennial,Y*,N,,0x00061a15324a22e2,1.0,,_include_,,original_url,*.metacritic.com
*.mg.co.za/*,Perennial,Y,Y,,0x00061a15322379eb,1.0,,_include_,,original_url,*.mg.co.za
*.mondediplo.com/*,Perennial,Y,Y,,0x00061a15325e3744,1.0,,_include_,,original_url,https://mondediplo.com/
*.motherjones.com/*,Perennial,N,N,,0x00061a149afa154d,1.0,,_include_,,original_url,motherjones.com
*.msnbc.com/*,Perennial,Y / Y,N,,0x00061a149afa1590,1.0,,_include_,,original_url,MSNBC.com
*.nationalgeographic.com/*,Perennial,Y,Y,,0x00061a1532728128,1.0,,_include_,,original_url,nationalgeographic.com
*.nature.com/*,Perennial,Y*,Y,,,,,,,,
*.nbcnews.com/*,Perennial,Y / Y,N,,0x00061a149afa1895,1.0,,_include_,,original_url,nbcnews.com
*.newrepublic.com/*,Perennial,N,N,,0x00061a15328a2aa5,1.0,,_include_,,original_url,newrepublic.com
*.news.err.ee/*,State Media Monitor,?,N,,,,,,,,
*.news.sky.com/*,Perennial,Y*,N,,0x00061a15343f2351,1.0,,_include_,,original_url,news.sky.com
*.newslaundry.com/*,Perennial,N,N,,0x00061a1532db0d9a,1.0,,_include_,,original_url,newslaundry.com
*.newyorker.com/*,Perennial,Y*,Y,,0x00061a149afa15d1,1.0,,_include_,,original_url,Newyorker.com
*.niemanlab.org/*,,N,N,,,,,,,,
*.nme.com/*,State Media Monitor,N,N,,0x00061a1532f174c4,1.0,,_include_,,original_url,*.nme.com
*.npr.org/*,Perennial,Y / Y,N,,0x00061a149afa1922,1.0,,_include_,,original_url,npr.org
*.nydailynews.com/*,Perennial,Y*,Y,,0x00061a1532b3c9be,1.0,,_include_,,original_url,*.nydailynews.com
*.nymag.com/*,Perennial,Y*,Y,,0x00061a1532a144a3,1.0,,_include_,,original_url,nymag.com
*.nytimes.com/*,Perennial,Y,Y,,0x00061a149afa18e5,1.0,,_include_,,original_url,nytimes.com
*.nzherald.co.nz/*,Perennial,Y,Y,Seems sensationalist - propose reevaluation?,0x00061a1532c57066,1.0,,_include_,,original_url,nzherald.co.nz
*.oko.press/*,Perennial,Y*,N,,0x00061a153304f104,1.0,,_include_,,original_url,OKO.press
*.pbcjamaica.org/*,State Media Monitor,N,N,,,,,,,,
*.pbs.org/*,State Media Monitor,N,N,,,,,,,,
*.people.com/*,Perennial,N,N,,0x00061a1533184d11,1.0,,_include_,,original_url,people.com
*.philanthropy.com/*,INN,Y*,Y,,,,,,,,
*.pmn.co.nz/*,State Media Monitor,N?,N,,,,,,,,
*.politico.com/*,Perennial,Y*,N,,0x00061a149afa1962,1.0,,_include_,,original_url,politico.com
*.politifact.com/*,Perennial,N,N,,0x00061a14b26af10c,1.0,,_include_,,original_url,Politifact.com
*.polygon.com/*,Perennial,N,N,,0x00061a1533673c92,1.0,,_include_,,original_url,polygon.com
*.poynter.org/*,,Y / Y,N,,,,,,,,
*.propublica.org/*,Perennial,N,N,,0x00061a149afa19ab,1.0,,_include_,,original_url,propublica.org
*.pulitzercenter.org/*,INN,Y / Y,N,,,,,,,,
*.qz.com/*,Perennial,Y,Y,,0x00061a15337ddcab,1.0,,_include_,,original_url,qz.com
*.rappler.com/*,Perennial,Y / Y,N,,0x00061a1533ab057e,1.0,,_include_,,original_url,rappler.com
*.reason.com/*,Perennial,Y* / Y*,N,,0x00061a149afa1ca4,1.0,,_include_,,original_url,reason.com
*.religionnews.com/*,Perennial,Y*,N,,0x00061a1533d7feae,1.0,,_include_,,original_url,https://religionnews.com
*.reuters.com/*,Perennial,Y*,N,,0x00061a149afa1be4,1.0,,_include_,,original_url,reuters.com
*.rfa.org/*,State Media Monitor,Y / Y,N,,0x00061a153393ab08,1.0,,_include_,,original_url,rfa.org
*.rnz.co.nz/*,State Media Monitor,Y / Y,N,,,,,,,,
*.rottentomatoes.com/*,Perennial,Y / Y,N,,0x00061a186c0eec97,1.0,,_include_,,original_url,*.rottentomatoes.com
*.rte.ie/,State Media Monitor,Y / Y,N,,0x00061a1533edc0a0,1.0,,_include_,,original_url,https://*.rte.ie/
*.rtvslo.si/radio-si*,State Media Monitor,N,N,,,,,,,,
*.sbs.com.au/*,State Media Monitor,N,N,,,,,,,,
*.science.org/*,Perennial,Y,Y,,,,,,,,
*.sciencebasedmedicine.org/*,Perennial,Y*,N,Some member-only posts,0x00061a153402a259,1.0,,_include_,,original_url,*.sciencebasedmedicine.org
*.scientificamerican.com/,Perennial,Y*,Y,,0x00061a1534186f2d,1.0,,_include_,,original_url,https://*.scientificamerican.com/
*.scotusblog.com/*,Perennial,Y*,N,,0x00061a15342b0791,1.0,,_include_,,original_url,scotusblog.com
*.sfchronicle.com/*,,Y,Y,,,,,,,,
*.smh.com.au/*,Perennial,Y*,Y,,0x00061a153481026c,1.0,,_include_,,original_url,smh.com.au
*.snopes.com/*,Perennial,N,N,,0x00061a14b27ea83e,1.0,,_include_,,original_url,Snopes.com
*.spiegel.de/international/*,Perennial,Y,N,,0x00061a15346cf2e8,1.0,,_include_,,original_url,spiegel.de
*.splcenter.org/*,Perennial,N?,N,,,,,,,,
*.swissinfo.ch/eng/*,State Media Monitor,Y / Y,N,,,,,,,,
*.telegraph.co.uk/*,Perennial,Y*,Y,,0x00061a14de9614d2,1.0,,_include_,,original_url,telegraph.co.uk
*.texastribune.org/*,INN,N,N,,,,,,,,
*.theage.com.au/*,Perennial,Y*,Y,,0x00061a14bd461414,1.0,,_include_,,original_url,theage.com.au
